Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:55:32990800,310.848,302.3568,303.04,296.9156,524.600555,1359.15,acq500
26/10/2022 16:55:33989200,310.848,302.6496,303.0156,296.9156,522.749115,1359.15,acq500
26/10/2022 16:55:34987600,310.848,302.5764,303.0156,296.818,523.674835,1360.15,acq500
26/10/2022 16:55:35986000,310.8236,302.4056,303.0156,296.9156,524.600555,1357.15,acq500
26/10/2022 16:55:36984400,310.848,302.4056,303.04,296.94,522.749115,1359.15,acq500
26/10/2022 16:55:37998400,310.848,302.6252,303.0888,296.94,522.749115,1357.15,acq500
26/10/2022 16:55:38996800,310.8236,302.6496,303.0888,296.9156,522.749115,1355.15,acq500
26/10/2022 16:55:39995200,310.8236,302.6984,303.0888,296.94,522.749115,1356.15,acq500
26/10/2022 16:55:40993600,310.848,302.6008,303.0644,296.94,523.674835,1355.15,acq500
26/10/2022 16:55:41992000,310.8236,302.6984,303.1376,296.8424,522.749115,1355.15,acq500
26/10/2022 16:55:42990400,310.8236,302.6984,303.1376,296.94,523.674835,1356.15,acq500
